,0
Café,467
Hotel,161
Turkish Restaurant,122
Restaurant,105
Seafood Restaurant,82
Dining and Drinking,74
Mosque,69
Coffee Shop,69
Office,69
Bakery,65
Kebab Restaurant,59
Hospital,58
Fast Food Restaurant,51
Health and Beauty Service,51
Dessert Shop,45
Bar,45
Night Club,42
Coworking Space,42
Harbor or Marina,41
Hookah Bar,41
College and University,36
Office Building,36
Steakhouse,34
Gym and Studio,33
Plaza,30
Art Gallery,30
History Museum,29
Non-Profit Organization,29
Diner,29
Historic and Protected Site,28
Burger Joint,28
High School,27
Bank,27
Other Great Outdoors,26
Government Building,26
BBQ Joint,24
Residential Building,24
Medical School,23
Doner Restaurant,23
Pizzeria,23
Jewelry Store,23
Clothing Store,22
Tea Room,22
Arts and Entertainment,22
Meyhane,21
Nail Salon,21
Middle Eastern Restaurant,21
Shrine,20
Breakfast Spot,19
Dentist,19
Park,18
Buffet,18
Community and Government,17
"Cafe, Coffee, and Tea House",17
College Academic Building,17
Pub,17
Comfort Food Restaurant,17
Cultural Center,17
Department Store,17
Tram Station,16
Church,16
Bagel Shop,16
Music Venue,16
Cocktail Bar,16
Library,15
Shopping Mall,14
Lounge,14
Police Station,14
Stadium,14
Pide Place,14
Bookstore,14
Mediterranean Restaurant,14
Landmarks and Outdoors,13
Government Department,13
Business and Professional Services,13
Housing Development,13
Wedding Hall,12
Museum,12
Turkish Home Cooking Restaurant,12
Cafeteria,12
Food Court,12
Cemetery,12
College Library,12
City Hall,12
Fish and Chips Shop,12
Travel and Transportation,12
Elementary School,11
Bus Station,11
Advertising Agency,11
Business Center,11
Cigkofte Place,10
Soup Spot,10
Hair Salon,10
American Restaurant,10
Soccer Field,10
Pier,10
Snack Place,10
Community Center,10
Bridal Store,10
Arcade,10
Pilavcı,9
Student Center,9
Miscellaneous Store,9
Military Base,9
Kofte Place,9
Education,9
Lingerie Store,9
Community College,9
Scenic Lookout,8
Bistro,8
Italian Restaurant,8
Antique Store,8
Factory,8
Capitol Building,8
Asian Restaurant,8
Medical Center,8
Beer Garden,8
Waterfront,7
Bus Stop,7
Borek Place,7
Electronics Store,7
Gastropub,7
Fried Chicken Joint,7
Women's Store,7
Retail,7
Ice Cream Parlor,7
Bathing Area,7
Arts and Crafts Store,7
Monument,7
College Cafeteria,7
University,6
Hardware Store,6
Art Museum,6
Metro Station,6
Fashion Accessories Store,6
College Auditorium,6
Doctor's Office,6
College Lab,6
Bridge,5
Movie Theater,5
Farmers Market,5
Notary,5
Gift Store,5
College Administrative Building,5
Music Store,5
College Classroom,5
Fair,5
Event Space,5
Boutique,5
Performing Arts Venue,5
Bed and Breakfast,5
