,0
Bar,1203
Sake Bar,928
Café,849
Ramen Restaurant,613
Convenience Store,609
BBQ Joint,505
Japanese Restaurant,342
Chinese Restaurant,317
Restaurant,256
Italian Restaurant,245
Hotel,211
Coffee Shop,204
Sushi Restaurant,202
Japanese Curry Restaurant,197
Udon Restaurant,188
Bakery,165
Clothing Store,165
Travel and Transportation,162
Rail Station,157
Grocery Store,144
Kushikatsu Restaurant,142
Okonomiyaki Restaurant,142
Burger Joint,137
Yoshoku Restaurant,133
Shopping Mall,132
"Cafe, Coffee, and Tea House",127
Retail,109
Office Building,109
Soba Restaurant,105
Teishoku Restaurant,102
Karaoke Box,96
Office,89
Fast Food Restaurant,87
Park,87
Takoyaki Place,86
Metro Station,84
Japanese Family Restaurant,81
Rock Club,80
Beer Bar,77
Cocktail Bar,77
Bus Stop,75
Landmarks and Outdoors,72
Parking,68
Hobby Store,67
Bookstore,66
Dessert Shop,66
Health and Beauty Service,66
Yakitori Restaurant,65
Event Space,64
Hospital,63
Indian Restaurant,62
Drugstore,62
Historic and Protected Site,58
Art Gallery,57
Tonkatsu Restaurant,57
Bank,56
Pub,55
Donburi Restaurant,54
Bed and Breakfast,52
Night Club,51
Platform,51
Shrine,50
Korean Restaurant,50
Bridge,49
Sporting Goods Retail,47
Music Venue,47
French Restaurant,47
Miscellaneous Store,46
Tempura Restaurant,44
Post Office,44
Arcade,43
Steakhouse,43
Concert Hall,42
Electronics Store,42
Wine Bar,39
Boutique,39
Nabe Restaurant,38
Internet Cafe,37
Shabu-Shabu Restaurant,37
Pizzeria,36
Plaza,36
Bathing Area,34
Fuel Station,33
Record Store,32
Monument,32
Gym and Studio,32
Pachinko Parlor,31
Government Building,30
Government Department,29
Shoe Store,29
Hostel,29
Noodle Restaurant,28
Deli,28
Candy Store,27
Furniture and Home Store,27
Hair Salon,27
Whisky Bar,27
Business and Professional Services,26
Discount Store,26
Eyecare Store,25
Tea Room,25
Music Store,25
Arts and Entertainment,25
Toy Store,24
Theater,23
Seafood Restaurant,23
Bistro,23
Thai Restaurant,23
Asian Restaurant,23
Lounge,23
Department Store,22
Structure,22
Health and Medicine,22
Trade School,22
Dim Sum Restaurant,21
Speakeasy,21
Police Station,21
Buddhist Temple,21
Tobacco Store,21
Education,20
Cosmetics Store,20
Ice Cream Parlor,20
Stadium,20
Vintage and Thrift Store,19
High School,19
Public Art,18
Sports Bar,18
Bicycle Store,18
Wedding Hall,18
Liquor Store,18
Mobile Phone Store,18
Movie Theater,17
American Restaurant,17
Business Center,17
Dumpling Restaurant,17
Men's Store,17
Pastry Shop,17
Mobile Company,17
Spa,16
Bath House,16
Travel Agency,16
Gift Store,16
College and University,15
Dining and Drinking,15
Beer Garden,15
Toll Booth,15
Food Court,15
Unagi Restaurant,15
Arts and Crafts Store,15
Garden,15
Fashion Accessories Store,15
Playground,14
Fried Chicken Joint,14
City Hall,14
Rental Car Location,14
Spanish Restaurant,14
Donut Shop,13
Automotive Repair Shop,13
Car Dealership,13
Public Transportation,12
Hot Spring,12
Video Store,12
Dentist,12
Temple,12
Outdoor Supply Store,12
Massage Clinic,12
Wings Joint,12
Women's Store,12
Bagel Shop,11
Comedy Club,11
Art Museum,11
Gay Bar,11
Residential Building,11
Stationery Store,11
Mexican Restaurant,11
Jewelry Store,11
Church,11
Hookah Bar,11
Creperie,10
Karaoke Bar,10
Real Estate Service,10
Embassy or Consulate,10
Casino,10
Organization,10
Library,10
Coworking Space,10
Food and Beverage Retail,10
Taiwanese Restaurant,10
Museum,10
Sri Lankan Restaurant,10
Wagashi Place,10
Comfort Food Restaurant,10
Convention Center,9
Gaming Cafe,9
Chocolate Store,9
Home Improvement Service,9
Spiritual Center,9
Barbershop,9
Elementary School,9
Buffet,9
Beijing Restaurant,9
Community and Government,8
Home Appliance Store,8
Bus Station,8
Comic Book Store,8
Meeting Room,8
ATM,8
Bubble Tea Shop,8
Sukiyaki Restaurant,8
Cantonese Restaurant,8
Tutoring Service,8
Snack Place,8
Lodging,7
Amusement Park,7
Golf Store,7
Sports and Recreation,7
Computers and Electronics Retail,7
Gourmet Store,7
Used Bookstore,7
Office Supply Store,7
Dance Studio,7
Camera Store,7
Community Center,7
Vietnamese Restaurant,7
Hotel Bar,7
Photography Studio,7
Road,6
University,6
Outdoor Event Space,6
Motorcycle Dealership,6
Tram Station,6
Farmers Market,6
Motel,6
TV Station,6
Technology Business,6
History Museum,6
Juice Bar,6
Hawaiian Restaurant,6
Jazz and Blues Venue,6
Imported Food Store,6
Ticket Seller,6
Gastropub,6
Cupcake Shop,6
Flower Store,6
Soccer Field,6
Sandwich Spot,6
Szechuan Restaurant,6
Fishing Store,6
Soup Spot,6
Veterinarian,6
Watch Store,6
Kaiseki Restaurant,6
Bowling Alley,5
Breakfast Spot,5
Other Great Outdoors,5
Toll Plaza,5
Pool Hall,5
Wine Store,5
Design Studio,5
Pop-Up Store,5
Doctor's Office,5
Orthopedic Surgeon,5
Equipment Rental Service,5
Climbing Gym,5
College Classroom,5
Print Store,5
Shanghai Restaurant,5
Luggage Store,5
Ophthalmologist,5
Pet Café,5
Cafeteria,5
Employment Agency,5
Food and Beverage Service,5
Lottery Retailer,4
Entertainment Service,4
Travel Lounge,4
Warehouse or Wholesale Store,4
Performing Arts Venue,4
Zoo,4
Tennis Court,4
Framing Store,4
Recording Studio,4
Factory,4
Vape Store,4
Middle School,4
Scenic Lookout,4
Pie Shop,4
Dermatologist,4
Leather Goods Store,4
Himalayan Restaurant,4
Radio Station,4
Automotive Service,4
Malay Restaurant,4
Cultural Center,4
Boat Launch,4
Baby Store,4
Monjayaki Restaurant,4
Driving School,4
Exhibit,4
German Restaurant,4
Fire Station,4
Automotive Retail,4
Science Museum,3
Video Games Store,3
Community College,3
Dive Bar,3
Circus,3
Lake,3
Hardware Store,3
Indie Movie Theater,3
Salad Restaurant,3
Blood Bank,3
Cheese Store,3
Hiking Trail,3
Souvenir Store,3
River,3
Children's Clothing Store,3
Halal Restaurant,3
Skating Rink,3
Turkish Restaurant,3
Repair Service,3
Medical Center,3
Language School,3
Adult Education,3
Golf Driving Range,3
Outlet Store,3
"Ear, Nose and Throat Doctor",3
Baseball Field,3
Pier,3
Pet Supplies Store,3
Harbor or Marina,3
IT Service,3
Tapas Restaurant,3
Manufacturer,3
Nail Salon,3
Butcher,3
Herbs and Spices Store,3
Music School,3
Lingerie Store,3
Food Truck,2
Courthouse,2
Sauna,2
Taco Restaurant,2
Rest Area,2
Recycling Facility,2
Betting Shop,2
Escape Room,2
Assisted Living Service,2
Medical School,2
Swimming Pool,2
New Car Dealership,2
Soccer Store,2
Adult Store,2
Fruit and Vegetable Store,2
College Cafeteria,2
Diner,2
Brazilian Restaurant,2
Supermarket,2
Planetarium,2
Korean BBQ Restaurant,2
Primary and Secondary School,2
Preschool,2
Media Agency,2
Construction,2
Property Management Office,2
Indie Theater,2
Track,2
South Indian Restaurant,2
North Indian Restaurant,2
Board Store,2
Laundromat,2
Pet Service,2
Alternative Medicine Clinic,2
Culinary School,2
Funeral Home,2
Non-Profit Organization,2
Real Estate Agency,2
Indonesian Restaurant,2
Event Service,2
Sports Club,2
Pet Sitting and Boarding Service,2
Professional Cleaning Service,2
Waterfront,2
Bridal Store,2
Gun Range,2
Healthcare Clinic,2
Fair,2
Tourist Information and Service,2
Gelato Shop,2
Legal Service,1
Law Office,1
Farm,1
Castle,1
Urban Park,1
Gun Store,1
Batting Cages,1
Security and Safety,1
Eastern European Restaurant,1
Belgian Restaurant,1
Costume Store,1
Transportation Service,1
Pakistani Restaurant,1
Transport Hub,1
Auditorium,1
Winery,1
Bike Rental,1
Tech Startup,1
Neighborhood,1
Canal Lock,1
Motorsports Store,1
Cruise,1
Botanical Garden,1
Credit Counseling and Bankruptcy Service,1
Strip Club,1
Dive Store,1
Car Parts and Accessories,1
College Auditorium,1
Tire Repair Shop,1
Caribbean Restaurant,1
Organic Grocery,1
Tunnel,1
Argentinian Restaurant,1
Coffee Roaster,1
Southern Food Restaurant,1
Nursery School,1
Champagne Bar,1
Boarding House,1
Yoga Studio,1
College Quad,1
Portuguese Restaurant,1
Tattoo Parlor,1
Israeli Restaurant,1
Swimming Club,1
Antique Store,1
Race Track,1
Tibetan Restaurant,1
College Administrative Building,1
Street Food Gathering,1
College Lab,1
Audiovisual Service,1
Tree,1
Filipino Restaurant,1
General Contractor,1
Photography Lab,1
Pawn Shop,1
Heliport,1
Housing Development,1
Beach Bar,1
Publisher,1
Scottish Restaurant,1
Cemetery,1
Egyptian Restaurant,1
Baseball Store,1
Dance Store,1
"Print, TV, Radio and Outdoor Advertising Service",1
Shoe Repair Service,1
Indoor Play Area,1
Tailor,1
Basketball Court,1
Food Stand,1
Boxing Gym,1
Mattress Store,1
Tennis Club,1
Distillery,1
Accounting and Bookkeeping Service,1
Prayer Room,1
Picnic Shelter,1
Tennis Store,1
Train,1
Mountain,1
Cemevi,1
Cajun and Creole Restaurant,1
Sculpture Garden,1
Mediterranean Restaurant,1
Latin American Restaurant,1
Baggage Locker,1
Advertising Agency,1
Mental Health Clinic,1
Water Park,1
Car Wash and Detail,1
Greek Restaurant,1
Electrician,1
Irish Pub,1
Singaporean Restaurant,1
Middle Eastern Restaurant,1
Pilates Studio,1
Insurance Agency,1
Golf Course,1
Metals Supplier,1
